principal_id,tokens
qgn6h-il5yz-kgb7z-msi4k-puzvx-jaop6-q6c24-zlcll-u44uc-tq2r3-zqe,11760.44871
rp2kj-epmvf-ufrbm-hs3it-dymqe-lnr4x-vrbwl-on4tf-7v6cg-exgbv-rqe,11760.44871
3tx6x-zopok-3bqsy-76gc3-a5poj-srfqh-o6j4y-py6te-tfpbf-qrhnl-xae,11760.44871
2ilh5-wlfgz-i7w77-vkapz-przew-2hd6r-dtugk-ak3ah-ogiro-dypkt-lae,11760.44871
z63aa-7jbug-qigpn-3jhmf-ys4hl-7cjqz-hf37g-jn3fu-tzmq4-74ple-pqe,11760.44871
lpurk-uj6fr-okcbg-cduqw-wo5zc-t7nfg-wig4k-ksifw-ufjj4-mmkxf-kae,58802.24353
rw5ic-l3pi5-vaqfv-adz2k-ixxw3-ywqp6-qrtvm-b4khf-iuaq3-sxvrm-cqe,11760.44871
q6rwv-pddvy-6roer-wjb2o-laoxe-46xpy-5b34e-mzgrf-nkznm-ltqzs-xae,11760.44871
hzqqe-qcnfk-akv62-l2hwx-o4en4-txg2a-glsdt-pzbqg-rwasl-2yxz7-2qe,11760.44871
ds4vf-5svn4-hi3lq-bbbrz-5zu3f-omppz-xx55x-ryy7u-p47vt-yfnmr-bqe,11760.44871
uvwjj-q4mmm-thvxd-5juha-xl2nj-wg6ef-qrvrj-ebwko-pz6jk-ytmaw-aae,11760.44871
b4tnn-26go4-6kv6g-uth64-viuup-i5euf-ipxcs-z2zuv-eggv5-zfpfh-6qe,11760.44871
anefi-5xejf-vv77f-5naoh-jjxnl-geyfa-hfbx7-sgjlw-qfxrj-gdqx3-qae,11760.44871
s67d7-elvp2-dssap-cmtpm-4czvf-gsnf3-6vbmo-xsgkz-ocqjs-tngfu-3ae,11760.44871
6zg6q-e6ggs-puuzs-q53sf-jr6dw-jmluh-iyzpd-lbzud-vf2a3-22t3v-pae,11760.44871
jwsam-6vjx3-nyxqf-zl25b-et3m6-gq4dy-4rrsf-7i34r-o5plg-tjnsy-5qe,11760.44871
al26x-zgwiw-eoabq-lpxob-gbbfl-6rvt2-jrdeh-4xjqt-cx4nh-djkcz-aae,11760.44871
j5xig-k2upz-bzod4-5v3lv-irjo7-og7a2-2x7lm-ex2cm-gewzr-usviz-iqe,11760.44871
lnolp-yhya7-j75i6-jsusg-plllt-rghzk-3puhw-3k2ua-wheb5-owp7d-kae,11760.44871
boe2s-j3z5m-vdjbw-njgwd-nbu22-dnsub-ra2q3-mxh6r-5r6l3-gtax3-3qe,11760.44871
llkrm-qekua-zyzn2-35upx-dq7kb-lf2nr-kgqyo-sg5om-sawyi-blb3p-iae,11760.44871
jutvo-b4kxh-cqzas-pgktk-atnqg-r2jmy-rkkpr-xpjdg-xosyr-3a3m2-jqe,80513.84114
uarbr-phr26-zfyvf-unqt5-akkpv-enma7-tlp34-md3e4-5seem-56ha5-kqe,11760.44871
4ahfo-mxklt-tuq6v-cyf6y-yi2jr-iusnh-q2fej-a3art-ccyy6-6pjuj-tqe,11760.44871
owsqy-p7evf-yo2ye-banu6-fywln-y6hxp-vgtzm-5on4i-6kce3-7gr63-mqe,11760.44871
yzmoe-xsngv-zyhvi-qqeqe-wikz6-zzg33-z3xob-jspqa-3tg6c-jivu4-iae,11760.44871
vdywl-ekpss-6chrn-c6wwv-745vt-ukd62-j5xun-3kiav-kqv4j-6bvrf-hqe,11760.44871
fol2d-x7ciz-j2wzd-fq3wr-vysaj-zyxkr-3otp7-3657a-apbo5-hyp2u-5ae,11760.44871
oylir-wgqie-5bu43-5hegd-eijk4-wldpn-incho-kzyjx-2vcyc-z7cht-rae,11760.44871
